"filename", "language", "TypeScript", "vue", "JSON", "SCSS", "JavaScript", "XML", "comment", "blank", "total"
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/openApi/modals/ChangeYourPaymentPlan.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 6, 49
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/openApi/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/Preferences.vue", "vue", 0, 19, 0, 0, 0, 0, 0, 3, 22
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/modals/EditNameModal.vue", "vue", 0, 44, 0, 0, 0, 0, 0, 9, 53
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/modals/ResetPasswordModal.vue", "vue", 0, 93, 0, 0, 0, 0, 0, 10, 103
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/preferences-header/PreferencesHeader.vue", "vue", 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/settings/Settings.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 4, 41
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/styles.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/settings/Settings.vue", "vue", 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/settings/language-switcher/LanguageSwitcher.vue", "vue", 0, 32, 0, 0, 0, 0, 0, 9, 41
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/settings/theme-switcher/ThemeSwitcher.vue", "vue", 0, 22, 0, 0, 0, 0, 0, 7, 29
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/staffUsers/UsersPage.vue", "vue", 0, 49, 0, 0, 0, 0, 14, 13, 76
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/staffUsers/composables/useUsers.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 11, 65
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/staffUsers/widgets/EditUserForm.vue", "vue", 0, 46, 0, 0, 0, 0, 0, 11, 57
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/staffUsers/widgets/UsersTable.vue", "vue", 0, 82, 0, 0, 0, 0, 33, 16, 131
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/ToiletsPage.vue", "vue", 0, 85, 0, 0, 0, 0, 0, 19, 104
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/composables/useProjects.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 9, 48
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/widgets/EditProjectForm.vue", "vue", 0, 50, 0, 0, 0, 0, 0, 12, 62
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/widgets/ToiletCards.vue", "vue", 0, 47, 0, 0, 0, 0, 0, 5, 52
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/widgets/ToiletTable.vue", "vue", 0, 71, 0, 0, 0, 0, 33, 9, 113
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/router/index.ts", "TypeScript", 113, 0, 0, 0, 0, 0, 6, 10, 129
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/icon-fonts/index.scss", "SCSS", 0, 0, 0, 1, 0, 0, 2, 1, 4
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/icon-fonts/vuestic-icons/vuestic-icons.scss", "SCSS", 0, 0, 0, 77, 0, 0, 0, 21, 98
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/icon-fonts/vuestic-icons/vuestic-icons.svg", "XML", 0, 0, 0, 0, 0, 67, 0, 1, 68
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/main.scss", "SCSS", 0, 0, 0, 47, 0, 0, 1, 13, 61
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/vuestic-sass/index.scss", "SCSS", 0, 0, 0, 73, 0, 0, 0, 17, 90
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/toCSV.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/utils.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 1, 2, 16
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/vuestic-ui/global-config.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 2, 56
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/vuestic-ui/icons-config/aliases.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 1, 111
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/vuestic-ui/icons-config/icons-config.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/vuestic-ui/themes.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/billing-addresses.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 1, 3, 71
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/global-store.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/notifications.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 2, 55
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/payment-cards.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 2, 4, 68
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/user-store.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"Total", "-", 2002, 4116, 379, 205, 103, 67, 175, 878, 7925
